objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid,SpType,BV,TEff,FeH
1237659119863660714,226.921052765065,46.8923729982216,17.81942,16.80871,16.44289,16.08711,15.89917,3177,301,4,127,1182284283155343360,GALAXY,0.09054613,1050,52721,325,,0,0,0
1237659119863595142,226.862575542964,46.9785321842097,18.58853,17.36926,16.88778,16.56438,16.3727,3177,301,4,126,1182284832911157248,GALAXY,0.08798871,1050,52721,327,,0,0,0
1237659119326789806,226.677565863955,46.4418696727972,18.58441,17.3208,16.62063,16.20386,15.93938,3177,301,3,127,1182291704858830848,GALAXY,0.1089054,1050,52721,352,,0,0,0
1237659119326789762,226.607985339274,46.4820762095908,19.34232,19.11107,19.02209,19.11382,19.01123,3177,301,3,127,1182293629004179456,QSO,0.8644775,1050,52721,359,,0,0,0
1237659119326789722,226.623229857927,46.6002181034201,19.19438,18.07788,17.68354,17.48317,17.33041,3177,301,3,127,1182288681201854464,GALAXY,0.02684801,1050,52721,341,,0,0,0
1237650794602561708,130.556897515528,-1.13884785988945,18.85064,17.86187,17.57811,17.4779,17.45338,1239,301,1,68,14101953107908122624,STAR,0.0003321925,12525,58932,206,M1V,1.474,3705,0.6
1237667430634029227,148.450568106729,23.0793394128909,19.58418,18.17127,17.40281,16.97108,16.62112,5112,301,4,259,2584105550472046592,GALAXY,0.1076724,2295,53734,601,,0,0,0
1237667429010178341,119.277948324928,10.9966352605145,19.47335,17.44278,16.58611,16.21335,15.83531,5112,301,1,57,2722510151037773824,GALAXY,0.04651924,2418,53794,306,,0,0,0
1237667429010113046,119.008286607908,11.0346685504746,19.34586,17.83537,16.92781,16.52699,16.2584,5112,301,1,56,2722507127380797440,GALAXY,0,2418,53794,295,,0,0,0
1237667429009719971,118.263989944292,10.5420889778565,19.29794,17.90919,17.33013,17.10148,17.00507,5112,301,1,50,3315864636552669184,STAR,3.097939E-05,2945,54505,325,K1V,0.811,5059,-0.16
1237667429009719824,118.350512936885,10.5744142194461,19.18139,16.79417,15.76871,15.41831,15.23963,5112,301,1,50,3315876181424760832,STAR,4.716782E-05,2945,54505,367,K2,1.099,4505,-0.07
1237667429009457963,117.765269529271,10.2910679063364,19.42981,17.60103,16.80484,16.46248,16.2479,5112,301,1,46,3315864361674762240,STAR,-3.821763E-05,2945,54505,324,K3V,0.95,4775,-0.12
1237667294267113559,147.977858326653,23.4883426162446,19.06325,18.06312,17.66376,17.37451,17.24546,5080,301,6,233,2584106649983674368,GALAXY,0.0726875,2295,53734,605,,0,0,0
1237667294266917011,147.572775482477,23.3853500451657,19.3694,18.25396,17.79077,17.42761,17.23981,5080,301,6,230,2584096754379024384,GALAXY,0.08893598,2295,53734,569,,0,0,0
1237667294266327164,146.227489366462,22.9762558574207,19.58654,17.60215,16.64481,16.2093,15.8683,5080,301,6,221,2585068722674755584,GALAXY,0.08935222,2296,53735,9,,0,0,0
1237667294266261544,145.988477717811,22.9634724259284,18.04912,16.91511,16.53503,16.39748,16.36074,5080,301,6,220,2585068172918941696,STAR,0.0004768603,2296,53735,7,F8,0.53,5873,-0.45
1237667294266196125,145.884516984792,22.9959386863314,19.14317,17.28612,16.37818,15.9721,15.66795,5080,301,6,219,2585067348285220864,GALAXY,0.07049911,2296,53735,4,,0,0,0
1237667293730111668,147.790855941022,23.1100744549767,19.51459,18.20815,17.66364,17.35961,17.18173,5080,301,5,231,2584108024373209088,GALAXY,0.05681765,2295,53734,610,,0,0,0
1237667293730111661,147.773192220143,23.1343396303183,19.0319,17.10068,16.1472,15.71032,15.39557,5080,301,5,231,2584106100227860480,GALAXY,0.08118843,2295,53734,603,,0,0,0
1237667293730046113,147.725647618901,23.033202294697,18.67434,17.68615,17.40824,17.11909,17.08004,5080,301,5,230,2584108299251116032,GALAXY,0.08064813,2295,53734,611,,0,0,0
1237653653449932849,10.3235381662016,16.0365624550857,19.0194,17.98842,17.63558,17.52146,17.46705,1904,301,6,217,12430058808470165504,STAR,-0.0007158998,11040,58456,450,O9.5Ib...,-0.199,9899,0.09
1237656971300896772,10.316825307095,-0.578556247867518,17.72233,16.52754,16.11532,15.99278,15.93793,2677,301,2,45,1683294352278841344,STAR,-0.0001109622,1495,52944,269,G5,0.58,5625,-0.21
1237657189835931665,10.1643192996836,-1.03023555003058,17.376,15.97297,15.51381,15.31846,15.29963,2728,301,1,481,1683300949348608000,STAR,-0.0001056305,1495,52944,293,G8IV-V,0.701,5563,-0.02
1237663782591266834,10.2056083696058,-1.19209364696501,16.5998,15.52264,15.14187,15.0251,15.00653,4263,301,1,184,1683302873493956608,STAR,-0.0001023292,1495,52944,300,G2V,0.539,5373,-1.08
1237663782591332857,10.3722646015923,-1.19606288080854,19.53247,18.45564,17.91707,17.59965,17.53073,4263,301,1,185,1683289679354423296,GALAXY,0.01744979,1495,52944,252,,0,0,0
1237655502958887083,252.586739870177,38.9455290122261,18.37166,17.43361,17.14672,17.04697,17.03294,2335,301,3,44,12069823061626738688,STAR,-0.0004369374,10720,58250,640,M1V,1.474,3705,0.6
1237667538542133325,144.938003797641,20.2586892041104,19.02205,18.00906,17.62025,17.46011,17.40602,5137,301,5,214,10754810995782473728,STAR,0.0002979741,9552,57814,782,O9.5Ib...,-0.199,9899,0.09
1237664869213471013,142.794158625646,32.3120293607197,19.58949,19.51278,19.30473,19.18176,19.23756,4516,301,1,115,11514636484495038464,QSO,1.425995,10227,58224,211,,0,0,0
1237661120240484863,48.4634316949351,39.899047953876,19.26784,17.88103,17.33565,17.13624,17.05818,3643,301,2,63,2721355663358846976,STAR,-0.0002727975,2417,53766,202,F6IVwvar,0.382,6275,-0.57
1237661082125206014,48.2957790782926,40.7879716156711,17.17085,15.98659,15.57878,15.43728,15.37748,3634,301,3,102,2721350165800708096,STAR,-0.0002194149,2417,53766,182,F7IV,0.433,6200,-0.32
1237660345012191258,149.716065070401,42.7948211278031,18.6644,18.51936,18.89729,19.17073,19.58694,3462,301,6,266,5139934379167209472,STAR,-0.0001085865,4565,55591,732,K3III,1.299,4395,-0.01
1237678601846587485,10.7669368709074,17.7754229365948,18.44646,18.22444,17.94784,17.95393,17.93085,7713,301,4,299,12430119006731786240,QSO,1.128717,11040,58456,669,,0,0,0
1237659133280714857,211.424113504957,52.8730445523872,19.31905,18.43767,18.15993,18.06758,18.04578,3180,301,5,55,7911879898104616960,STAR,-0.0002881504,7027,56448,659,M1V,1.474,3705,0.6
1237658803118604352,211.596110109611,53.0211948105624,19.16953,18.24884,18.1147,18.08295,18.14636,3103,301,6,261,7911891168098801664,STAR,-0.0003360163,7027,56448,700,K7V,1.363,3900,0.17
1237678882098839671,10.1775450764358,-1.26835409695792,19.23274,18.08865,17.61598,17.31314,17.15214,7778,301,6,385,1683297925691631616,GALAXY,0.1103478,1495,52944,282,,0,0,0
