objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid,SpType,BV,TEff,FeH
1237648720671998485,130.114613339549,-0.593563001441243,19.53791,17.59703,16.84199,16.5971,16.47104,756,301,2,95,8390258445757208576,STAR,-9.184731E-05,7452,56745,190,O9.5Vvar,0.18,6537,-2.09
1237648720672063516,130.14112616406,-0.455126996838301,19.07532,17.47649,16.84696,16.62092,16.48694,756,301,2,96,8390258170879301632,STAR,0.0002716066,7452,56745,189,O9.5Vvar,0.18,6537,-2.09
1237648720672063910,130.18634677148,-0.529352731505166,19.55631,18.00592,17.34758,17.08964,16.97402,756,301,2,96,8390258720635115520,STAR,-0.0002123074,7452,56745,191,O9.5Vvar,0.18,6537,-2.09
1237648720672064022,130.284243968221,-0.611568188367614,19.51035,17.2876,16.37243,16.05861,15.904,756,301,2,96,8390254322588604416,STAR,0.0001373502,7452,56745,175,O9.5Vvar,0.18,6537,-2.09
1237648720672129065,130.308607718429,-0.535597947822143,18.33407,16.63883,16.04316,15.84474,15.7547,756,301,2,97,8390245526495582208,STAR,-2.57977E-05,7452,56745,143,O9.5Vvar,0.18,6537,-2.09
1237648720672129260,130.433856774848,-0.56290753809265,17.49207,16.16553,15.68864,15.50556,15.43583,756,301,2,97,8390245801373489152,STAR,-2.619345E-05,7452,56745,144,O9.5Ib...,-0.199,9899,0.09
1237648721208934541,130.210384782201,-0.204730638884908,17.74435,16.29783,15.77154,15.57304,15.48745,756,301,3,96,8390259270390929408,STAR,-0.0002393954,7452,56745,193,O9.5Vvar,0.18,6537,-2.09
1237648721209065802,130.559158681766,-0.122060755577805,18.27988,16.72516,16.08562,15.8153,15.68431,756,301,3,98,8390248275274651648,STAR,0.0005110615,7452,56745,153,O9.5Vvar,0.18,6537,-2.09
1237648721209131242,130.601258854637,-0.0490850070015917,19.41561,17.27825,16.52144,16.32543,16.18217,756,301,3,99,8390249924542093312,STAR,-3.456145E-05,7452,56745,159,O9.5Vvar,0.18,6537,-2.09
1237648721209131380,130.671706351811,-0.0463668032017529,19.1897,16.85385,15.89228,15.57334,15.3907,756,301,3,99,8390243877228140544,STAR,-0.0001493134,7452,56745,137,O9.5Vvar,0.18,6537,-2.09
1237648721216274522,147.017918009305,-0.127268230818211,18.67938,18.26975,18.34097,18.46216,18.59776,756,301,3,208,299497923782141952,STAR,-6.583336E-05,266,51630,31,A0,0.116,7652,0.06
1237650794602430746,130.208067582923,-1.10986941737311,19.52929,18.93288,18.12768,17.04369,16.42046,1239,301,1,66,8390263943315347456,STAR,-2.150341E-05,7452,56745,210,G2IV,0.605,5807,0.14
1237650794602496012,130.333925873879,-1.19301618466224,18.5012,17.62699,17.36127,17.26104,17.25857,1239,301,1,67,8390254597466511360,STAR,0.0002567613,7452,56745,176,M1V,1.474,3705,0.6
